id,address,district,org_id,year,floors,entrances,lat,lon,source
h-shp50,"Шипиловская улица, 50",Зябликово,org-kashir,1982,12,3,55.61585,37.74330,model
h-shp52,"Шипиловская улица, 52",Зябликово,org-kashir,1983,12,4,55.61520,37.74470,model
h-gb29,"улица Генерала Белова, 29",Зябликово,org-yasen,1980,9,4,55.61905,37.73960,model
h-gb31,"улица Генерала Белова, 31",Зябликово,org-yasen,1981,9,3,55.61850,37.74120,model
h-zd24,"Задонский проезд, 24",Зябликово,org-orekh,1985,16,2,55.60995,37.73880,model
h-zd26,"Задонский проезд, 26",Зябликово,org-orekh,1986,16,2,55.60950,37.74030,model
,"Ясеневая улица, 36",Зябликово,org-yasen,1987,14,3,,,model
,"Воронежская улица, 30",Зябликово,org-kashir,1984,9,6,,,model
,"улица Мусы Джалиля, 10",Зябликово,org-kashir,1983,12,2,,,model
h-bad1,"Шипиловская улица, 54",Зябликово,org-unknown,1984,12,3,55.61470,37.74600,model
